ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-925338,Source2,2,2021-08-25 7:10:09,2021-08-25 7:49:00,39.93346,-86.157433,,,2.480000019,Exit ramp from I-465 Westbound at Exit 31 to US-31 Northbound shoulder closed due to accident.,N Meridian St,Indianapolis,Hamilton,IN,46290,US,US/Eastern,KTYQ,2021-08-25 7:15:00,70,70,97,29.11,10,S,3,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4908440,Source1,2,2022-02-01 4:13:55,2022-02-01 7:05:30,47.25825906,-115.0529158,47.28336906,-115.0778058,2.091,Travelers can expect the following: Crash blockage jackknife with reduced lanes and speed limit 35 mph westbound until further notice. SEMI JACKKNIFED IN THE MEDIAN. PARTIAL BLOCKAGE TO THE PASSING LANE WATCH FOR POSSIBLE DEBRIS ON ROAD AND CREW MEMBERS.,I-90 W,Saint Regis,Mineral,MT,59866,US,US/Mountain,K3TH,2022-02-01 3:53:00,13,13,84,24.08,10,VAR,3,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-1388988,Source2,2,2020-07-16 11:03:31,2020-07-16 13:17:35,34.72015,-86.616592,,,0,Lane blocked due to accident on AL-20 Governors Dr Southbound at 12th St.,Governors Dr,Huntsville,Madison,AL,35805-3542,US,US/Central,KHUA,2020-07-16 10:58:00,85,85,65,29.39,10,S,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-4535214,Source1,2,2022-02-18 16:53:00,2022-02-18 18:59:00,32.771645,-117.161407,32.730856,-117.15468,2.845,Slow traffic on CA-163 S from Genesee Ave (CA-163) to I-5/Park Blvd (CA-163) due to accident.,Friars Rd,San Diego,San Diego,CA,92108,US,US/Pacific,KMYF,2022-02-18 16:53:00,63,63,40,29.69,10,NW,14,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2127689,Source2,2,2019-05-28 7:37:44,2019-05-28 8:45:19,33.436073,-111.926163,,,0,Right hand shoulder blocked due to accident on AZ-202-LOOP Westbound near Exit 7 Scottsdale Rd.,N Scottsdale Rd,Tempe,Maricopa,AZ,85281,US,US/Mountain,KPHX,2019-05-28 7:51:00,64,64,37,28.66,10,E,7,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-6609749,Source1,2,2020-11-30 12:57:30,2020-12-01 1:48:29,25.89866,-80.382801,25.895972,-80.379142,0.294,Stationary traffic on US-27 S - FL-25 from FL-821/Florida's Tpke (US-27) to 138th St (US-27) due to accident.,W Okeechobee Rd,Miami,Miami-Dade,FL,33178,US,US/Eastern,KMIA,2020-11-30 12:53:00,83,83,58,29.89,10,WSW,14,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6214306,Source1,2,2021-07-21 18:13:56,2021-07-21 18:32:30,38.132332,-77.511383,38.12196,-77.51632,0.765,Slow traffic on I-95 S from US-17/US-1/Exit 126 (I-95) to VA-639/Exit 110 (I-95) due to accident.,I-95 S,Woodford,Spotsylvania,VA,22580,US,US/Eastern,KEZF,2021-07-21 18:15:00,84,84,54,29.79,10,NNE,3,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2881976,Source2,2,2018-04-12 7:30:27,2018-04-12 8:30:18,29.75239,-95.364708,,,0,Accident on Clay St at Caroline St.,Caroline St,Houston,Harris,TX,77002-6904,US,US/Central,KMCJ,2018-04-12 7:55:00,64.4,,94,29.98,9,Variable,4.6,,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-2635201,Source2,2,2018-08-09 15:11:13,2018-08-09 15:40:52,41.926895,-73.912605,,,0,Right hand shoulder blocked due to accident on NY-308 Market St Eastbound at US-9 Mill St.,Mill St,Rhinebeck,Dutchess,NY,12572-1427,US,US/Eastern,KPOU,2018-08-09 14:53:00,84,,55,29.75,10,West,5.8,,Scattered Clouds,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-5659848,Source1,2,2021-11-09 23:47:00,2021-11-10 1:03:40,25.794969,-80.258877,25.794973,-80.25903,0.01,Incident on NW 21ST ST WB near HOUSE 3900 Drive with caution.,NW 21st St,Miami,Miami-Dade,FL,33142-6704,US,US/Eastern,KMIA,2021-11-09 23:53:00,70,70,78,30.09,10,N,3,0,Mostly Cloudy,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-3086025,Source2,3,2018-01-25 11:30:19,2018-01-25 12:14:33,35.753944,-78.635696,,,0,Accident on I-40 Eastbound at Exit 299 Hammond Rd.,I-40 W,Raleigh,Wake,NC,27603,US,US/Eastern,KRDU,2018-01-25 11:51:00,43,38.8,40,30.52,10,NNE,6.9,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1506844,Source3,2,2020-06-15 8:17:29,2020-06-15 8:47:18,34.243271,-118.424461,,,0,Accident on Bartee Ave near Osborne St.,Bartee Ave,Arleta,Los Angeles,CA,91331-4606,US,US/Pacific,KWHP,2020-06-15 7:50:00,64,64,64,28.92,10,ESE,5,,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-674983,Source2,2,2022-03-16 15:15:36,2022-03-16 15:44:24,34.651295,-86.816582,,,0,Lane blocked due to crash on I-565 Eastbound after Exit 3 CR-115 Greenbrier Pkwy.,I-565,Madison,Limestone,AL,35756,US,US/Central,KHSV,2022-03-16 14:53:00,64,64,75,29.24,10,CALM,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-674620,Source2,2,2022-03-16 18:56:36,2022-03-16 19:26:44,34.03714,-81.090858,,,0,Crash on US-176 Broad River Rd at Longcreek Dr.,Longcreek Dr,Columbia,Richland,SC,29210-8302,US,US/Eastern,KCAE,2022-03-16 18:56:00,62,62,93,29.69,8,ENE,3,0.09,Light Rain,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-5296533,Source1,2,2022-02-16 8:30:07,2022-02-16 10:15:30,28.64042401,-81.42232776,28.63918401,-81.40628776,0.976,Stationary traffic on FL-414 from Rose Ave (FL-414) to FL-434/Forest City Rd (FL-414) due to accident.,Maitland Blvd,Altamonte Springs,Seminole,FL,32714,US,US/Eastern,KORL,2022-02-16 8:53:00,67,67,70,30.28,10,ENE,10,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5436922,Source1,2,2022-08-10 18:28:09,2022-08-10 19:13:09,39.16133523,-94.81736541,39.15813523,-94.82223541,0.342,Accident at exit [16].,KS-5,Kansas City,Wyandotte,KS,66109,US,US/Central,KNKA,2022-08-10 18:54:00,86,86,43,29.28,10,E,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7173962,Source1,2,2020-04-13 19:14:42,2020-04-13 19:44:42,35.19002,-80.79835,35.19002,-80.79835,0,At Randolph Rd - Accident.,Marvin Rd,Charlotte,Mecklenburg,NC,28211-1115,US,US/Eastern,KCLT,2020-04-13 18:52:00,77,77,43,29.08,10,SW,10,0,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3983218,Source1,2,2022-03-22 7:22:30,2022-03-22 11:12:00,33.120965,-117.32149,33.100054,-117.308585,1.626,Slow traffic on San Diego Fwy S - I-5 S from Cannon Rd (I-5) to Poinsettia Ln (I-5) due to accident.,I-5 S,Carlsbad,San Diego,CA,92011,US,US/Pacific,KCRQ,2022-03-22 6:53:00,55,55,72,29.68,10,ENE,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2826531,Source2,2,2018-05-16 17:45:34,2018-05-16 18:14:43,42.442745,-83.754082,,,0,Left lane blocked due to accident on US-23 Northbound at M-36 9 Mile Rd.,US-23 N,Brighton,Livingston,MI,48116,US,US/Eastern,KOZW,2018-05-16 17:55:00,76.8,,40,29.97,10,NNW,3.5,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2876571,Source2,2,2018-04-10 7:45:54,2018-04-10 8:15:03,30.452003,-91.102585,,,0,Accident on US-61 Bus Florida Blvd Westbound around Airport Ave.,E Airport Ave,Baton Rouge,East Baton Rouge,LA,70806,US,US/Central,KBTR,2018-04-10 7:53:00,55.9,,67,30.17,10,North,6.9,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1722555,Source2,2,2019-12-17 7:07:45,2019-12-17 7:39:00,39.711113,-104.99913,,,0,Accident on I-25 Southbound near Exit 207B US-85 Santa Fe Dr.,I-25 S,Denver,Denver,CO,80223,US,US/Mountain,KAPA,2019-12-17 6:53:00,18,11,40,24.33,10,SSW,5,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-19908,Source2,2,2016-09-13 22:15:22,2016-09-13 22:45:22,38.654133,-121.382942,,,0,Accident on Watt Ave at Myrtle Ave.,Watt Ave,North Highlands,Sacramento,CA,95660-5110,US,US/Pacific,KMCC,2016-09-13 22:15:00,62.6,,59,29.99,10,SSW,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-5225149,Source1,2,2022-11-10 20:28:00,2022-11-10 21:56:53,30.5084002,-91.17196441,30.5079902,-91.17171441,0.032,Incident on SCENIC HWY near AIRLINE HWY Drive with caution.,Scenic Hwy,Baton Rouge,East Baton Rouge,LA,70805,US,US/Central,KBTR,2022-11-10 20:53:00,63,63,75,29.77,10,NNW,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-6549508,Source1,2,2021-01-05 1:56:00,2021-01-05 4:46:28,38.087915,-122.231751,38.089805,-122.230831,0.14,EB 80 JWO 780. [FSP] has closed their incident [210104GGFSP00183],I-80 E,Vallejo,Solano,CA,94591,US,US/Pacific,KAPC,2021-01-05 1:54:00,37,37,93,30.23,0.5,CALM,0,0,Fog,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3578098,Source1,2,2017-03-09 11:35:36,2017-03-09 17:35:36,33.968791,-84.526941,33.967254,-84.525474,0.135,At GA-120-LOOP/Exit 265 - Accident.,I-75 S,Marietta,Cobb,GA,30062,US,US/Eastern,KMGE,2017-03-09 11:58:00,68.7,,22,30.26,10,WNW,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7270277,Source1,2,2020-02-20 14:02:56,2020-02-20 18:02:56,43.59297,-123.24644,43.59297,-123.24644,0,At CR-7/CR-8/Scotts Valley Rd/Exit 154 - Accident.,I-5 N,Yoncalla,Douglas,OR,97499,US,US/Pacific,KRBG,2020-02-20 13:53:00,60,60,38,29.59,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4674830,Source1,2,2022-10-12 15:51:06,2022-10-12 17:54:25,39.056366,-77.154224,39.056444,-77.154721,0.027,MD 927 EAST AT I-270,Dwight D Eisenhower Hwy N,Rockville,Montgomery,MD,20852,US,US/Eastern,KGAI,2022-10-12 15:56:00,70,70,55,29.51,,S,12,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-6085916,Source1,2,2021-03-25 18:34:22,2021-03-25 20:11:51,43.68881822,-93.32019925,43.68432822,-93.32114925,0.314,Incident on I-35 SB near I-90 Drive with caution.,I-35 S,Albert Lea,Freeborn,MN,56007,US,US/Central,KAEL,2021-03-25 18:35:00,48,44,62,28.48,10,NE,10,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-5445724,Source1,2,2022-08-18 21:00:00,2022-08-18 22:22:00,30.504587,-91.144249,30.509065,-91.144404,0.31,Incident on BEECHWOOD DR near DENHAM ST Drive with caution.,Beechwood Dr,Baton Rouge,East Baton Rouge,LA,70805-1807,US,US/Central,KBTR,2022-08-18 20:53:00,80,80,87,29.84,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-1542566,Source3,3,2020-03-26 16:25:54,2020-03-26 17:25:37,34.057327,-118.165031,,,0,Lane closed on exit ramp due to accident on I-710 Northbound at Exit 21 Corporate Center Dr.,I-710 N,Monterey Park,Los Angeles,CA,91754,US,US/Pacific,KCQT,2020-03-26 16:52:00,61,61,35,29.75,10,W,9,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2017804,Source2,2,2019-08-12 5:55:35,2019-08-12 6:55:20,33.466942,-82.01059,,,0,Accident on Wrightsboro Rd at Heard Ave.,Wrightsboro Rd,Augusta,Richmond,GA,30904-4760,US,US/Eastern,KDNL,2019-08-12 5:53:00,78,78,84,29.5,10,E,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Day,Day
A-2672852,Source2,3,2018-08-28 6:49:30,2018-08-28 7:19:02,34.033669,-84.576927,,,0,Right lane blocked and right hand shoulder blocked due to accident on I-75 Southbound at Exit 271 Chastain Rd.,Chastain Rd NW,Kennesaw,Cobb,GA,30144,US,US/Eastern,KRYY,2018-08-28 6:48:00,72,,91,29.36,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-5152274,Source1,2,2022-06-16 11:16:30,2022-06-16 13:49:07,33.781738,-78.988703,33.790759,-78.996824,0.778,Stationary traffic on US-501 N from SC-31/Carolina Bays Pkwy (US-501) to US-501 Bus (Red Hill)/SC-544 (US-501) due to accident.,E Highway 501,Conway,Horry,SC,29526-9512,US,US/Eastern,KHYW,2022-06-16 11:15:00,84,84,62,30.14,10,CALM,0,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4152380,Source1,2,2022-12-30 16:40:00,2022-12-30 19:11:00,33.778744,-117.87663,33.741399,-117.836312,3.467,Slow traffic on Santa Ana Fwy S - I-5 S from Chapman Ave (I-5) to CA-55 (I-5) due to accident.,I-5 S,Santa Ana,Orange,CA,92706,US,US/Pacific,KSNA,2022-12-30 16:30:00,60,60,80,30.02,10,SSW,7,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3628923,Source1,3,2017-06-12 13:25:50,2017-06-12 19:25:50,41.76364,-87.90538,41.77227,-87.90653,0.599,Ramp to Exit 277A - Accident.,Commonwealth Ave,La Grange,Cook,IL,60525,US,US/Central,KMDW,2017-06-12 13:53:00,91.9,,41,29.89,10,SSW,11.5,,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-685944,Source2,2,2022-03-07 17:54:31,2022-03-07 18:57:10,33.66193,-117.87545,,,0,Lane blocked due to crash on Campus Dr at Bristol St.,Bristol St S,Newport Beach,Orange,CA,92660,US,US/Pacific,KSNA,2022-03-07 17:53:00,65,65,33,30.08,10,W,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Day,Day,Day
A-500188,Source2,2,2017-07-25 6:47:54,2017-07-25 7:47:43,34.066238,-84.292969,,,0,Accident on Haynes Bridge Rd at Devore Rd.,Haynes Bridge Rd,Alpharetta,Fulton,GA,30009-2133,US,US/Eastern,KPDK,2017-07-25 6:53:00,73,,93,30.04,6,Calm,,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-142732,Source2,2,2016-07-04 5:06:45,2016-07-04 5:51:45,27.958998,-82.538826,,,0,Shoulder blocked on exit ramp due to accident on FL-60 Memorial Hwy at Spruce St.,Memorial Hwy N,Tampa,Hillsborough,FL,33607,US,US/Eastern,KTPA,2016-07-04 4:53:00,80.1,,81,30.11,10,ESE,3.5,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-3591248,Source1,2,2017-03-15 8:31:59,2017-03-15 14:31:59,37.37469,-122.06781,37.38022,-122.06779,0.382,At CA-82/El Camino Real - Accident.,Norman Y Mineta Hwy,Mountain View,Santa Clara,CA,94040,US,US/Pacific,KNUQ,2017-03-15 8:32:00,55.9,,93,30.14,10,Calm,,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7590183,Source1,3,2018-04-04 1:23:23,2018-04-04 7:23:23,34.07574,-118.46879,34.07921,-118.47178,0.295,At Moraga Dr/Exit 57B - Accident.,San Diego Fwy S,Los Angeles,Los Angeles,CA,90049,US,US/Pacific,KSMO,2018-04-04 1:51:00,55,,89,30.02,8,SE,3.5,,Overcast,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-463320,Source2,3,2017-06-26 11:38:48,2017-06-26 12:08:25,33.346985,-117.158836,,,0,Accident on I-15 Northbound at Exit 46 CA-76 Pala Rd.,I-15 N,Fallbrook,San Diego,CA,92028,US,US/Pacific,KNFG,2017-06-26 11:55:00,79,,56,29.93,7,SSW,9.2,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-7296001,Source1,2,2019-12-31 18:04:00,2019-12-31 18:57:03,45.07449,-93.28686,45.07449,-93.28686,0,At 66th Ave - Accident.,State Highway 252,Minneapolis,Hennepin,MN,55430,US,US/Central,KMIC,2019-12-31 17:53:00,18,9,71,28.87,10,WSW,7,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Day
A-1150566,Source2,2,2021-02-16 16:37:36,2021-02-16 18:00:42,35.102829,-81.092438,,,0,Accident on SC-274 at Autumn Cove Dr.,Charlotte Hwy,Clover,York,SC,29710-7522,US,US/Eastern,KAKH,2021-02-16 16:54:00,51,51,46,29.06,10,VAR,6,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
